mileage,engine_power,registration_date,fuel,paint_color,car_type,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,price,sold_at
202713,105,2014-09-01,diesel,silver,estate,False,True,False,False,False,False,True,True,10100,2018-02-01
127441,85,2013-05-01,diesel,grey,estate,False,False,False,False,False,False,True,False,10800,2018-07-01
157848,105,2014-10-01,diesel,white,estate,False,True,False,False,False,True,True,True,13400,2018-03-01
223093,135,2013-07-01,diesel,black,sedan,True,True,True,False,False,False,True,True,14500,2018-02-01
73086,135,2014-02-01,diesel,black,suv,False,False,False,False,False,False,False,True,17500,2018-09-01
188264,135,2012-02-01,diesel,white,estate,True,True,True,False,True,False,True,True,15500,2018-03-01
118560,105,2013-04-01,diesel,white,suv,False,True,False,False,True,False,True,True,15200,2018-08-01
98734,105,2013-10-01,diesel,silver,sedan,False,True,False,False,True,True,True,True,19600,2018-04-01
105061,105,2014-06-01,diesel,black,estate,False,True,False,False,False,False,True,True,12500,2018-07-01
70792,230,2014-03-01,diesel,blue,suv,True,True,False,True,False,True,True,True,44600,2018-06-01
114771,135,2014-05-01,diesel,blue,estate,False,True,False,False,False,False,True,False,800,2018-03-01
86410,120,2011-07-01,diesel,grey,estate,True,True,True,False,True,False,True,True,15700,2018-05-01
179513,180,2009-07-01,diesel,grey,sedan,True,True,True,False,True,False,True,True,18500,2018-08-01
182833,105,2014-04-01,diesel,black,hatchback,False,False,False,False,False,False,True,True,14300,2018-02-01
46963,140,2015-10-01,diesel,orange,convertible,False,True,False,False,False,True,True,True,23300,2018-05-01
181345,85,2013-06-01,diesel,blue,hatchback,False,True,False,False,True,True,True,False,9900,2018-08-01
125857,105,2013-04-01,diesel,white,estate,True,True,True,False,True,True,True,True,14500,2018-06-01
42191,135,2014-04-01,diesel,grey,sedan,True,True,False,False,True,False,True,True,21400,2018-04-01
80340,100,2013-09-01,diesel,grey,estate,False,True,False,False,False,False,True,True,13200,2018-09-01
205603,105,2013-02-01,diesel,black,estate,False,True,False,False,True,False,True,False,11200,2018-08-01
113169,120,2012-02-01,diesel,blue,sedan,False,True,True,False,True,True,True,False,14800,2018-07-01
141228,85,2013-10-01,diesel,grey,hatchback,False,True,False,False,False,False,True,False,10000,2018-08-01
222723,120,2007-04-01,diesel,black,estate,True,True,False,False,False,False,True,True,6100,2018-03-01
86420,190,2014-08-01,diesel,black,suv,True,True,True,True,False,False,True,True,39300,2018-07-01
164468,120,2013-05-01,diesel,grey,estate,True,True,False,False,False,False,True,False,10600,2018-05-01
154267,105,2013-02-01,diesel,black,estate,False,False,False,False,False,False,True,True,11900,2018-03-01
96239,190,2014-02-01,diesel,grey,suv,True,True,False,True,True,True,True,True,40000,2018-03-01
34801,85,2014-05-01,diesel,black,hatchback,False,False,False,False,True,True,True,False,12000,2018-08-01
76574,160,2016-09-01,diesel,white,estate,True,True,False,False,False,True,True,True,30200,2018-02-01
178600,105,2013-12-01,diesel,white,sedan,False,True,True,False,False,True,True,True,13200,2018-09-01
109012,135,2013-01-01,diesel,black,estate,True,True,False,False,True,False,True,False,14300,2018-02-01
92554,135,2014-03-01,diesel,black,estate,True,True,False,True,True,False,True,True,26100,2018-04-01
137587,160,2007-10-01,diesel,blue,suv,True,True,True,False,True,False,True,True,7900,2018-07-01
155492,100,2014-02-01,diesel,black,estate,True,True,False,False,False,False,True,False,11300,2018-05-01
193485,100,2008-11-01,diesel,grey,estate,True,True,True,False,False,False,True,False,7200,2018-02-01
174862,110,2015-03-01,diesel,white,suv,True,True,False,False,True,True,True,False,15800,2018-06-01
114112,135,2014-02-01,diesel,black,estate,False,True,False,False,True,False,True,True,17300,2018-04-01
59043,85,2014-05-01,diesel,black,hatchback,False,False,False,False,False,False,False,False,11700,2018-05-01
105140,85,2013-09-01,diesel,grey,hatchback,False,True,False,False,False,False,False,False,9300,2018-05-01
215071,120,2013-08-01,diesel,black,sedan,False,True,False,False,True,False,True,False,12200,2018-05-01
151115,135,2013-04-01,diesel,silver,estate,True,True,True,False,False,False,True,True,15400,2018-05-01
342768,135,2011-12-01,diesel,black,coupe,False,True,False,False,True,False,True,False,8200,2018-04-01
136502,230,2014-05-01,diesel,grey,hatchback,False,True,False,True,True,True,True,True,25000,2018-04-01
67278,135,2015-02-01,diesel,silver,sedan,False,True,False,False,True,True,True,True,15600,2018-03-01
146859,135,2013-11-01,diesel,black,sedan,False,True,True,True,False,False,True,True,16400,2018-06-01
158288,100,2014-06-01,diesel,brown,estate,True,True,False,False,True,False,True,True,15700,2018-02-01
157024,120,2013-04-01,diesel,grey,sedan,False,True,False,False,True,False,False,True,15000,2018-06-01
182353,100,2014-03-01,diesel,blue,hatchback,False,True,False,False,False,False,True,False,12700,2018-03-01
52560,85,2013-06-01,diesel,black,suv,False,False,False,False,False,False,True,False,12100,2018-06-01
64832,135,2014-04-01,diesel,grey,convertible,True,True,False,False,True,True,True,True,27500,2018-06-01
174269,100,2013-02-01,diesel,brown,sedan,True,True,False,False,False,True,True,False,12900,2018-05-01
179766,140,2014-10-01,diesel,brown,suv,True,True,True,True,False,False,True,True,19500,2018-07-01
302525,100,2001-01-01,diesel,grey,estate,False,False,False,False,False,False,True,False,1000,2018-09-01
165041,135,2014-01-01,diesel,black,sedan,True,True,False,False,True,True,True,True,19200,2018-05-01
167280,105,2014-02-01,diesel,white,estate,False,True,False,False,False,False,True,True,13300,2018-02-01
148770,120,2014-02-01,diesel,blue,estate,True,True,False,False,True,False,True,True,16700,2018-04-01
177671,190,2014-05-01,diesel,black,sedan,True,True,False,False,False,False,True,True,24600,2018-01-01
147228,85,2013-12-01,diesel,silver,estate,True,True,False,False,False,False,True,False,10600,2018-03-01
192730,190,2014-04-01,diesel,blue,estate,False,True,False,False,False,True,True,True,21400,2018-03-01
95636,105,2014-03-01,diesel,white,estate,True,True,False,False,True,False,True,False,14500,2018-02-01
169722,145,2008-05-01,diesel,grey,coupe,True,False,False,False,True,False,True,False,8300,2018-08-01
162683,85,2014-10-01,diesel,white,suv,False,False,False,False,False,False,False,True,6000,2018-08-01
150863,105,2015-05-01,diesel,white,suv,False,False,False,False,False,False,True,False,4900,2018-04-01
184696,173,2008-07-01,diesel,grey,sedan,True,True,False,True,True,False,True,True,7700,2018-08-01
192663,135,2011-11-01,diesel,blue,suv,False,True,False,False,True,False,True,True,17600,2018-07-01
120350,105,2014-05-01,diesel,grey,hatchback,False,True,False,False,False,False,True,False,3600,2018-05-01
159923,100,2013-04-01,diesel,black,sedan,False,True,False,False,False,False,True,False,11900,2018-07-01
179090,85,2014-07-01,diesel,white,sedan,True,True,False,False,False,False,True,False,10900,2018-04-01
110081,120,2013-03-01,diesel,grey,estate,False,True,False,True,True,False,True,True,19000,2018-08-01
197072,120,2014-01-01,diesel,silver,sedan,True,True,True,True,True,False,True,True,22200,2018-06-01
89713,120,2012-05-01,diesel,silver,suv,True,True,False,True,True,False,True,False,17000,2018-04-01
195714,190,2012-01-01,diesel,silver,suv,True,True,False,True,True,False,True,True,15500,2018-07-01
136333,105,2012-10-01,diesel,black,suv,False,True,False,True,True,False,True,False,12800,2018-02-01
164558,160,2013-12-01,diesel,black,suv,False,True,False,True,False,False,True,True,18100,2018-07-01
146541,120,2011-08-01,diesel,brown,sedan,True,True,False,False,False,False,True,True,14600,2018-09-01
187314,122,2013-12-01,diesel,grey,estate,True,True,False,False,True,False,True,True,12500,2018-05-01
19633,110,2015-10-01,diesel,grey,van,False,True,False,False,False,False,True,True,17000,2018-09-01
200508,122,2013-11-01,diesel,black,estate,False,True,False,False,True,True,True,True,9500,2018-05-01
190919,100,2014-04-01,diesel,black,hatchback,True,True,True,False,True,False,True,True,15200,2018-07-01
175172,85,2013-10-01,diesel,blue,sedan,False,True,False,False,False,False,True,False,9900,2018-06-01
100488,105,2012-11-01,diesel,white,suv,False,True,False,True,False,True,True,True,16100,2018-04-01
195501,135,2013-07-01,diesel,white,estate,False,False,False,False,False,False,True,False,10000,2018-03-01
134873,105,2013-10-01,diesel,blue,hatchback,False,False,False,False,False,False,False,True,11900,2018-06-01
131067,135,2011-06-01,diesel,blue,sedan,True,True,False,False,True,False,True,False,16800,2018-03-01
141346,230,2012-04-01,diesel,blue,coupe,True,True,True,False,True,True,True,True,39900,2018-03-01
177528,105,2014-03-01,diesel,black,estate,False,True,False,False,True,False,True,False,12900,2018-03-01
261240,150,2010-10-01,diesel,black,estate,True,True,True,False,True,True,True,True,14200,2018-05-01
151555,230,2014-11-01,diesel,blue,estate,True,True,True,False,True,False,True,True,22100,2018-01-01
166676,135,2014-03-01,diesel,brown,estate,True,True,False,False,True,False,True,False,15800,2018-07-01
190639,105,2013-07-01,diesel,brown,estate,False,True,False,False,True,True,True,False,9300,2018-02-01
362024,110,2006-07-01,diesel,black,estate,False,True,False,False,False,False,True,False,5000,2018-04-01
117169,100,2013-01-01,diesel,black,estate,True,True,False,False,False,False,True,True,13600,2018-07-01
185078,100,2013-11-01,diesel,black,sedan,False,True,False,False,True,False,True,False,15100,2018-01-01
126961,85,2013-02-01,diesel,brown,sedan,False,True,False,False,False,False,True,False,10800,2018-07-01
49683,120,2012-06-01,diesel,blue,sedan,True,False,False,False,False,False,True,True,14800,2018-07-01
112576,110,2015-03-01,diesel,grey,sedan,True,True,True,False,True,False,True,True,20300,2018-04-01
98138,135,2014-03-01,diesel,black,estate,False,True,False,False,True,True,True,False,16700,2018-04-01
229880,85,1997-07-01,diesel,black,sedan,False,False,False,False,False,False,True,False,200,2018-08-01
123622,190,2014-05-01,diesel,black,estate,True,True,True,True,True,False,True,True,25500,2018-01-01
177592,140,2014-07-01,diesel,grey,suv,True,True,False,True,False,True,True,False,16900,2018-04-01
139295,100,2013-05-01,diesel,black,suv,True,True,False,False,False,True,True,False,14900,2018-06-01
70444,140,2015-07-01,diesel,brown,estate,False,False,False,False,False,False,False,True,21500,2018-03-01
95930,190,2014-02-01,diesel,grey,suv,True,True,False,True,True,True,True,True,39300,2018-07-01
89985,135,2013-09-01,diesel,grey,sedan,False,True,False,False,True,False,True,True,14400,2018-04-01
156160,173,2008-05-01,diesel,grey,estate,True,True,False,False,True,False,True,True,7700,2018-03-01
314973,90,2006-06-01,diesel,silver,sedan,False,True,False,False,False,False,True,False,6100,2018-06-01
197407,230,2012-06-01,diesel,blue,coupe,True,True,True,False,True,True,True,True,32100,2018-02-01
29245,160,2015-03-01,diesel,grey,suv,True,True,True,False,True,False,True,True,40900,2018-03-01
148475,120,2013-11-01,diesel,brown,estate,False,False,False,False,False,False,False,False,10600,2018-05-01
127454,120,2014-08-01,diesel,white,suv,False,False,False,False,False,False,False,False,5500,2018-04-01
116018,135,2012-09-01,diesel,black,suv,False,False,False,False,True,False,True,True,15200,2018-03-01
161554,120,2013-04-01,diesel,silver,sedan,True,True,False,False,True,False,True,False,15100,2018-02-01
98050,230,2014-10-01,diesel,black,suv,True,True,False,True,False,True,True,True,49700,2018-03-01
193480,155,2009-04-01,diesel,black,suv,False,True,True,True,True,False,True,True,15100,2018-03-01
151557,85,2013-06-01,diesel,black,hatchback,False,False,False,False,False,True,True,False,9000,2018-07-01
175663,120,2012-05-01,diesel,black,sedan,True,True,False,False,True,False,True,True,17400,2018-07-01
174524,85,2014-07-01,diesel,blue,hatchback,False,True,False,False,False,False,True,True,100,2018-03-01
160210,85,2014-08-01,diesel,brown,sedan,True,True,False,False,False,False,True,False,11800,2018-08-01
188345,100,2014-06-01,diesel,white,hatchback,True,True,False,False,False,True,True,True,16500,2018-07-01
219432,100,2014-06-01,diesel,grey,sedan,True,True,False,False,True,True,True,True,16700,2018-06-01
177793,135,2014-10-01,diesel,white,hatchback,True,True,False,False,True,True,True,True,20600,2018-05-01
113846,135,2013-07-01,diesel,grey,estate,False,True,False,True,False,False,True,True,14200,2018-02-01
159209,100,2007-09-01,diesel,grey,estate,True,True,False,False,False,False,True,False,5600,2018-05-01
229171,155,2012-09-01,diesel,grey,sedan,True,True,True,False,True,False,True,True,16300,2018-02-01
13418,195,2016-03-01,diesel,black,sedan,True,True,True,True,False,False,True,True,58300,2018-03-01
166767,85,2013-06-01,diesel,black,sedan,True,True,False,False,True,False,True,False,12100,2018-06-01
124421,100,2012-06-01,diesel,red,estate,True,False,False,False,False,False,True,False,5000,2018-07-01
110091,190,2014-09-01,diesel,black,hatchback,True,True,False,False,False,True,True,True,22300,2018-04-01
106355,100,2013-08-01,diesel,blue,estate,True,True,False,False,False,False,True,False,13100,2018-04-01
271901,180,2011-06-01,diesel,grey,hatchback,True,True,True,True,True,False,True,True,16700,2018-02-01
200510,135,2010-12-01,diesel,grey,coupe,True,True,False,False,True,False,True,True,10900,2018-09-01
39757,160,2013-05-01,diesel,grey,estate,True,True,False,True,True,False,True,True,23500,2018-03-01
158614,85,2012-12-01,diesel,grey,sedan,False,True,False,False,False,False,True,False,10400,2018-03-01
241236,155,2006-09-01,diesel,black,suv,True,False,True,False,False,False,True,True,7900,2018-09-01
57531,140,2016-01-01,diesel,grey,sedan,True,True,True,False,True,True,True,True,27300,2018-07-01
211276,137,2012-05-01,diesel,blue,estate,False,True,False,False,False,False,True,True,8300,2018-03-01
358333,100,2000-10-01,diesel,blue,estate,False,False,False,False,True,False,True,False,400,2018-07-01
103226,85,2014-05-01,diesel,white,hatchback,False,True,False,False,True,False,True,True,13000,2018-02-01
164519,120,2012-03-01,diesel,grey,sedan,True,True,False,False,False,False,True,False,14900,2018-02-01
123622,190,2011-12-01,diesel,silver,suv,True,True,True,True,True,True,True,True,19200,2018-07-01
149045,85,2012-07-01,diesel,brown,sedan,True,True,False,False,False,False,True,False,10900,2018-07-01
117872,85,2013-10-01,diesel,black,estate,True,True,False,False,False,False,True,False,10400,2018-01-01
146788,120,2012-08-01,diesel,silver,sedan,True,True,False,False,False,True,True,False,12500,2018-06-01
125505,105,2014-06-01,diesel,beige,sedan,False,True,False,False,False,False,True,True,17300,2018-04-01
61950,85,2011-08-01,diesel,silver,sedan,False,False,True,False,False,False,True,False,7100,2018-07-01
49832,100,2015-06-01,diesel,grey,van,False,True,False,False,False,False,True,True,17500,2018-08-01
95639,190,2013-06-01,diesel,black,estate,True,True,True,True,True,False,True,True,23900,2018-02-01
212126,135,2013-10-01,diesel,blue,estate,False,True,False,False,False,False,True,True,9500,2018-02-01
244355,110,2005-09-01,diesel,black,suv,True,True,True,True,True,True,True,False,6600,2018-08-01
210574,135,2011-11-01,diesel,black,estate,True,True,False,False,False,False,True,True,11900,2018-03-01
42220,135,2013-10-01,diesel,black,sedan,False,False,False,False,False,False,False,True,18200,2018-05-01
168068,100,2012-06-01,diesel,grey,estate,False,True,False,False,False,False,True,False,8000,2018-01-01
115514,135,2014-02-01,diesel,black,suv,False,True,False,True,True,True,True,True,21200,2018-09-01
224613,130,2009-03-01,diesel,white,coupe,False,False,False,False,True,False,True,False,8900,2018-07-01
91781,105,2014-03-01,diesel,black,suv,False,True,False,False,False,False,True,True,18700,2018-06-01
187608,135,2014-06-01,diesel,blue,estate,True,True,False,False,False,False,True,True,11500,2018-04-01
159693,100,2007-09-01,diesel,grey,estate,True,True,False,False,False,False,True,False,5100,2018-05-01
63020,110,2016-03-01,diesel,blue,suv,False,False,False,False,False,False,False,False,21700,2018-05-01
139565,120,2013-02-01,diesel,black,sedan,True,True,False,False,True,False,True,False,15000,2018-03-01
61989,140,2014-12-01,diesel,grey,suv,False,False,False,False,False,False,False,True,28600,2018-09-01
72457,120,2015-08-01,diesel,black,estate,True,True,False,False,True,False,True,False,20700,2018-06-01
55366,190,2015-08-01,diesel,grey,suv,True,True,False,True,True,False,True,True,34200,2018-05-01
60534,135,2014-04-01,diesel,blue,estate,False,False,False,False,True,False,True,True,17700,2018-03-01
185900,160,2012-12-01,diesel,white,estate,True,True,False,False,True,False,True,True,14300,2018-07-01
115569,280,2013-06-01,diesel,grey,suv,True,True,False,True,False,True,True,True,34800,2018-06-01
159659,190,2014-11-01,diesel,black,estate,True,True,False,True,True,True,True,True,20200,2018-01-01
104096,190,2014-09-01,diesel,black,suv,True,True,False,False,False,False,True,True,31400,2018-03-01
115723,100,2013-10-01,diesel,black,suv,False,True,False,False,False,False,True,True,15900,2018-03-01
171778,135,2012-10-01,diesel,blue,sedan,True,True,True,False,True,True,True,True,18800,2018-07-01
109001,85,2014-03-01,diesel,black,sedan,False,True,False,False,False,False,True,True,9400,2018-07-01
183563,135,2013-10-01,diesel,white,estate,False,True,False,False,True,True,True,True,18300,2018-06-01
128102,135,2014-01-01,diesel,blue,sedan,False,True,False,False,False,False,True,True,17600,2018-01-01
155313,85,2012-09-01,diesel,white,hatchback,False,True,False,False,False,False,True,False,9600,2018-07-01
69626,135,2014-04-01,diesel,white,hatchback,True,True,True,False,True,True,True,True,22600,2018-07-01
159290,100,2013-05-01,diesel,black,suv,False,True,True,False,True,False,True,False,14000,2018-07-01
137833,120,2009-01-01,petrol,grey,estate,True,False,False,False,False,False,True,False,6100,2018-03-01
124444,190,2013-02-01,diesel,black,sedan,True,True,True,False,True,False,True,True,28800,2018-07-01
118640,110,2014-09-01,diesel,white,van,False,False,False,False,False,False,False,False,800,2018-03-01
171008,120,2009-08-01,diesel,black,estate,False,True,False,False,False,False,True,False,6800,2018-04-01
171086,135,2014-05-01,diesel,white,sedan,False,True,False,False,True,False,True,True,21700,2018-02-01
222122,120,2006-06-01,diesel,silver,sedan,True,True,False,False,False,False,True,False,4900,2018-05-01
102189,105,2014-01-01,diesel,grey,estate,True,True,False,False,True,True,True,False,13300,2018-07-01
191742,105,2014-05-01,diesel,brown,estate,True,True,False,False,True,False,True,True,16700,2018-05-01
167036,190,2013-04-01,diesel,blue,sedan,True,True,True,False,True,True,True,True,24400,2018-04-01
116770,85,2012-11-01,diesel,black,hatchback,False,True,False,False,True,False,True,False,9600,2018-07-01
121765,85,2013-02-01,diesel,grey,hatchback,True,True,False,False,True,False,True,False,10800,2018-07-01
103892,135,2012-02-01,diesel,grey,estate,True,True,True,False,True,False,True,False,16400,2018-07-01
161215,105,2014-01-01,diesel,brown,estate,False,False,False,False,False,False,True,False,800,2018-03-01
166667,100,2013-01-01,diesel,brown,estate,True,True,False,False,False,False,True,True,10800,2018-04-01
52716,120,2014-06-01,diesel,grey,suv,True,True,False,True,False,False,True,True,23500,2018-05-01
127956,135,2014-07-01,diesel,white,estate,False,False,False,False,False,False,False,True,9300,2018-05-01
192232,135,2012-01-01,petrol,grey,estate,False,True,False,False,True,False,True,True,10700,2018-03-01
101054,120,2013-10-01,diesel,grey,estate,True,True,False,False,True,False,True,True,19000,2018-07-01
76260,120,2012-07-01,diesel,brown,sedan,True,True,False,False,True,False,True,True,18000,2018-07-01
119576,85,2015-01-01,diesel,black,estate,True,True,False,False,False,False,True,False,13100,2018-02-01
183765,85,2012-09-01,diesel,black,hatchback,True,True,False,False,True,False,True,False,9400,2018-08-01
58441,135,2014-11-01,diesel,blue,sedan,True,True,True,True,True,False,True,False,13400,2018-07-01
146310,85,2012-03-01,diesel,black,estate,False,False,False,False,False,False,True,False,7600,2018-04-01
165768,135,2014-06-01,diesel,blue,suv,True,True,False,True,True,True,True,True,20000,2018-07-01
71743,190,2015-06-01,diesel,black,suv,True,True,False,True,True,True,True,True,44100,2018-04-01
102856,135,2014-05-01,diesel,black,sedan,False,True,False,True,False,False,True,True,19400,2018-02-01
129046,135,2014-05-01,diesel,grey,estate,True,True,False,False,True,False,True,False,15200,2018-07-01
103095,110,2005-01-01,diesel,silver,estate,False,True,False,False,False,False,True,False,3300,2018-09-01
84673,120,2012-10-01,diesel,blue,sedan,False,False,False,False,False,False,False,False,11900,2018-04-01
124536,135,2012-04-01,diesel,grey,hatchback,True,True,False,False,True,False,True,False,15200,2018-08-01
132025,135,2014-03-01,diesel,blue,convertible,True,True,False,False,True,True,True,False,21700,2018-03-01
130896,173,2010-04-01,diesel,black,suv,True,True,True,False,True,False,True,True,25900,2018-03-01
88244,85,2013-07-01,diesel,black,suv,False,True,False,False,False,False,True,False,10000,2018-03-01
47091,100,2013-05-01,diesel,grey,sedan,False,False,False,False,False,False,True,False,13700,2018-01-01
182178,85,2015-02-01,diesel,black,hatchback,False,False,False,False,False,False,True,False,9300,2018-09-01
57435,135,2013-12-01,diesel,silver,suv,False,False,False,False,False,False,False,True,26700,2018-07-01
72664,160,2014-08-01,diesel,black,suv,True,True,False,True,True,False,True,True,34500,2018-04-01
118323,110,2014-09-01,diesel,white,van,False,False,False,False,False,False,False,False,800,2018-02-01
185238,135,2013-10-01,diesel,grey,estate,False,True,False,True,True,False,True,True,21700,2018-03-01
223829,190,2011-09-01,diesel,black,estate,True,True,True,True,True,False,True,True,20600,2018-01-01
132522,140,2014-07-01,diesel,black,estate,True,True,False,False,False,True,True,True,20800,2018-01-01
12402,170,2016-01-01,hybrid_petrol,grey,coupe,True,True,False,False,False,False,False,True,95200,2018-04-01
84133,105,2013-05-01,diesel,white,suv,False,False,False,False,False,False,False,False,11800,2018-07-01
181781,100,2013-10-01,diesel,grey,subcompact,True,True,True,False,False,True,True,False,9500,2018-05-01
108106,120,2011-07-01,diesel,black,estate,True,True,True,False,False,False,True,True,13400,2018-08-01
235114,90,2006-12-01,diesel,black,subcompact,False,False,False,False,False,False,True,False,3300,2018-04-01
133382,120,2012-02-01,diesel,grey,sedan,True,True,False,False,False,True,True,True,18000,2018-03-01
113678,190,2014-07-01,diesel,black,convertible,True,True,False,False,True,True,True,True,30100,2018-05-01
142991,105,2013-12-01,diesel,white,hatchback,False,False,False,False,False,False,True,False,10300,2018-05-01
134645,120,2013-07-01,diesel,grey,estate,True,True,True,False,False,False,True,False,13700,2018-06-01
101223,105,2013-07-01,diesel,brown,suv,False,True,False,True,True,False,True,True,15800,2018-03-01
90797,135,2013-03-01,diesel,blue,sedan,False,False,False,False,False,False,True,False,15600,2018-05-01
149616,100,2013-02-01,diesel,black,estate,False,True,False,False,False,False,True,False,7000,2018-07-01
132529,85,2012-09-01,diesel,blue,hatchback,False,True,False,False,False,False,True,False,8300,2018-04-01
124831,100,2013-08-01,diesel,grey,estate,True,True,False,False,False,False,True,False,10500,2018-07-01
177679,85,2012-04-01,diesel,grey,hatchback,True,False,False,False,False,False,True,True,9200,2018-09-01
140638,160,2013-05-01,diesel,black,estate,True,True,False,False,True,True,True,True,17800,2018-03-01
141977,135,2012-06-01,petrol,black,sedan,False,True,False,False,False,False,True,True,12700,2018-02-01
180953,135,2013-07-01,diesel,blue,estate,True,True,False,False,True,False,True,True,12600,2018-03-01
112720,190,2014-08-01,diesel,white,suv,True,True,True,True,True,True,True,True,35000,2018-04-01
117957,135,2014-04-01,diesel,white,hatchback,True,True,False,True,True,True,True,True,20000,2018-08-01
96058,85,2013-08-01,diesel,brown,hatchback,False,False,False,False,False,False,True,False,9400,2018-08-01
42261,225,2014-07-01,petrol,grey,hatchback,True,True,False,True,True,True,True,False,27000,2018-06-01
118097,105,2013-03-01,diesel,white,hatchback,False,False,False,False,False,False,False,False,800,2018-02-01
153854,135,2013-12-01,diesel,black,estate,False,True,False,False,True,True,True,True,15100,2018-05-01
131518,85,2011-03-01,diesel,black,subcompact,False,False,False,False,False,False,True,False,7500,2018-06-01
358332,100,2000-10-01,diesel,blue,estate,False,False,False,False,True,False,True,False,400,2018-07-01
144804,135,2014-03-01,diesel,black,suv,False,True,False,True,True,False,True,True,18600,2018-03-01
199614,120,2013-11-01,diesel,black,coupe,True,True,True,False,True,True,True,False,16100,2018-02-01
174944,150,2010-09-01,petrol,grey,estate,True,True,False,False,True,False,True,True,11600,2018-05-01
137629,190,2014-10-01,diesel,grey,estate,True,True,True,False,True,True,True,True,21800,2018-03-01
38700,120,2016-09-01,diesel,grey,hatchback,True,True,True,False,True,False,True,True,25000,2018-07-01
61354,105,2013-11-01,diesel,blue,suv,False,False,False,False,False,False,False,True,16900,2018-06-01
129456,180,2011-05-01,diesel,blue,sedan,False,True,False,False,False,False,True,False,10900,2018-03-01
34643,120,2015-05-01,diesel,black,estate,True,True,False,False,True,False,True,True,22800,2018-05-01
150476,105,2015-05-01,diesel,white,suv,False,False,False,False,False,False,True,False,3700,2018-01-01
163299,140,2014-09-01,diesel,white,estate,True,True,False,False,True,True,True,False,18100,2018-04-01
136348,85,2013-02-01,diesel,brown,sedan,False,False,False,False,False,False,True,False,11900,2018-03-01
143839,105,2014-07-01,diesel,black,hatchback,True,True,True,False,True,True,True,True,21300,2018-04-01
221872,135,2013-08-01,diesel,black,suv,True,True,False,True,True,True,True,True,18400,2018-04-01
75801,70,2014-03-01,diesel,black,subcompact,False,False,False,False,False,False,True,False,15300,2018-04-01
41353,135,2014-04-01,diesel,black,coupe,False,False,False,False,True,True,True,False,22000,2018-05-01
71685,135,2014-08-01,diesel,black,sedan,False,True,False,False,True,False,True,True,17800,2018-03-01
